client_id	path	sentence
16cfb	000020a912.mp3	বাংলাদেশে দায়িত্ব নেবে
976b1	000039928e.mp3	এ ধরণের কার্ড নিয়ে
f83df	00005debc7.mp3	হতে উপার্জিত অর্থ
9813c	00009e687c.mp3	হাসির বিষয় হয়েই আছে
7ec1c	00012843bc.mp3	সার্ক দেশগুলোতে
e43d4	00012880b1.mp3	সহজেই যাওয়া যায়
5639c	00014d427a.mp3	অন্তর্ভুক্তও করেছে রাশিয়া
321b6	0001e9f600.mp3	সুরকার হিসেবে
a46e2	0001ee459b.mp3	যাতে বিবাহ শাদী দিলে
e00db	0001fd54d9.mp3	আপনার গল্প ছাড়া
4c555	0002656955.mp3	বিবাহ ব্যাপারটাকে নিয়ন্ত্রিত করাই
2ecf8	0002a04050.mp3	বীরভূম জেলা হাসপাতালে
778c0	0002c06046.mp3	মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে
577fa	0002f5e8b7.mp3	পুলিশের সন্দেহ
15a75	00030c9001.mp3	বাঙালি মধ্যবিত্তের ধর্ম
4c555	000339782d.mp3	কোন অতিবৃষ্টি অরণ্যেই
a9a58	00033caf16.mp3	তখন তার প্রতিক্রিয়াটা
ee4ad	0004bc46f7.mp3	রয়েছেন মুখ্যমন্ত্রী
ac904	000549887f.mp3	তাদের হুমকি দেয়া হয়েছিল
7297e	000571e8eb.mp3	বিশেষ ছাড়ের ব্যবস্থা করা
aa820	0005c0cb27.mp3	অসাধারণ অভিনয় করেন ছবি বিশ্বাস
3fce2	0005c694a1.mp3	দুপুরের রোদে
8a46d	000633820e.mp3	অতঃপর ১৯৬০ সালের ২৬শে জুলাই
65e30	00067a3bf3.mp3	আরেকটি বড় ধরনের
7d3e1	0007ec5c58.mp3	তখন থেকেই ডাকটিকিট সংগ্রহ
7aed9	00081f7414.mp3	শক্তি চট্টোপাধ্যায়
18a52	00090d52b7.mp3	মনোনয়ন বাতিলের ক্ষমতাও
355c1	00090e7ccd.mp3	শিরোনাম আমার ছবি
3f875	00092bb274.mp3	ঘানিটা ঘুরছে
3f493	000970168f.mp3	বিকশিত করতে চাই
717bb	00098b3964.mp3	পুরুষের তৈরি করা
590d0	00099c95d0.mp3	ষড়যন্ত্র করবে
5639c	0009a72716.mp3	এই মার্কিনি বাবুর্চি
91230	0009c2d0f9.mp3	তা নিয়ে প্রতিযোগিতার আয়োজন
c4973	0009d560fe.mp3	টেবিলের ওপর
28bb3	000a4567b4.mp3	লকার্নো আন্তর্জাতিক চলচ্চিত্র উৎসবে
66dcd	000a50081a.mp3	সব কিছুই ঘটে চলেছে
a4750	000a9438d7.mp3	যার যে মূল্য প্রাপ্য
767ff	000ae4299c.mp3	জোড়ালো করতেই ওবামা
4bede	000af00d30.mp3	শুল্ক বিভাগের কর্মকর্তারা
6dff5	000c03fe83.mp3	নাচতে হয়
880ae	000c053da3.mp3	বিবাহ করিলেন
16e96	000c77a792.mp3	কিন্তু কৃষ্ণ রথের উপর
86b1b	000d57ddbf.mp3	তাহা লইয়া ন্যায্য
f9dfb	000d7874ee.mp3	বা অ্যালার্জির বংশগত রোগ যুক্ত
ea5be	000dc2f08b.mp3	শাসন করত
e9fa7	000f852677.mp3	মনোযোগ দিয়েছে
c463d	001050deb2.mp3	পাকিস্তানের ৫৪-সদস্যের দল
0c39f	00110b32d4.mp3	এই দ্বিগুণ দাম
b8ed8	00112a63e8.mp3	প্রায়ই ‘এককাট্টা শ্রেণী’ হিসেবে নিয়েছেন
ef4f8	00113d863f.mp3	কষ্টের কথা
f1240	0011dc9c2f.mp3	টেলিফিল্ম, নাটক ও চলচ্চিত্রে
37d7e	0011edfd6e.mp3	মীর কাসেম আলীর বিরুদ্ধে
42898	00122e09b7.mp3	সবচেয়ে দামী খাবারটি
11915	0012321d7b.mp3	প্রিয় শাবিপ্রবির উদ্দেশে
e8dde	00128c7353.mp3	অথচ কোনো খবর নেই
274ee	0012b9b651.mp3	আঙুলের নখ
3bea8	0012fe9553.mp3	দীর্ঘ দিন
75f18	00133b44f7.mp3	শিগগিরই একটা ভালো
7f71c	001352d84c.mp3	দ্বিতীয় বাছাই
08458	0013a12315.mp3	লেবাননের সীমান্তে
d3e06	0013c091de.mp3	উদাহরণস্বরূপ বলা
ff970	0014058b5f.mp3	এছাড়াও সহিংসতায়
1279e	001415e92d.mp3	সাজানোর জন্য
2fc12	0014eb81c0.mp3	মনিরুজ্জামান চৌধুরীর হাতে
e7230	00150297ca.mp3	মুশকিল আসানকারীদের প্রচারপত্রে
323f1	001528b596.mp3	নিজেও আত্মহত্যা করেন
31f2a	00154bb7d4.mp3	আমি তোমার
18460	0015b27f63.mp3	৬০০ থেকে ৮০০ মেগাওয়াট
cb627	0015eb3a5f.mp3	তাঁর এই স্বীকারোক্তি
b618b	00165b8335.mp3	যেসব খাবার খাওয়া হচ্ছে
5dec6	0016782bd0.mp3	বাংলা উইকিপিডিয়া
d2355	0016f4aa06.mp3	কারণ রাজের জন্যই তো
239f7	0016fc111c.mp3	মামলা নিষ্পত্তি করতে হবে
dec2d	0017086031.mp3	একজন অন্যজনের সঙ্গে
967fd	00171dce25.mp3	আকাশের বুকে এক জ্বলন্ত অগ্নিকুণ্ড
ef915	00180e5568.mp3	বাংলাদেশের পুলিশ বিভাগে কর্মরত
420df	0018237726.mp3	গ্রেপ্তারি এড়াতে
7351e	00185f8299.mp3	শেষ হওয়ার কথা ছিল
23291	0018e80698.mp3	ওদের সঙ্গে চলে না
932bb	0019330426.mp3	আমি তোমাকে কবে গল্প দিলাম
ee886	0019373749.mp3	এই দু’টি ক্যাটাগরিতে
3fb17	001992bbc9.mp3	প্রতিরোধের আভাস থাকলেও
98b81	0019a76004.mp3	একটি বিনোদনপত্রিকায় কুৎসিত ভাষায়
